observaciones;U;V;T
0;6;-26;2761
90;5;-31;2759
0;3;-34;2772
26;27;-6;2796
74;15;0;2868
40;20;10;2846
120;16;6;2776
0;10;7;2747
18;18;6;2754
0;16;2;2792
54;14;0;2798
342;6;-30;2825
519;4;-28;2862
773;9;-32;2860
301;15;-28;2788
790;13;-28;2758
808;9;-28;2764
618;12;-38;2756
399;15;-14;2775
30;17;-7;2799
0;10;-6;2837
2;7;-4;2824
204;10;3;2763
243;13;-23;2764
304;14;-28;2744
338;20;-32;2760
685;14;-22;2759
244;25;-13;2777
83;23;-3;2820
86;33;11;2801
158;29;16;2755
392;27;15;2745
335;25;17;2747
333;20;17;2758
329;16;16;2763
130;16;16;2796
1;15;18;2840
171;22;16;2830
113;26;18;2769
119;22;13;2777
17;29;13;2770
150;27;11;2780
234;28;9;2773
603;34;7;2800
429;51;6;2817
531;54;7;2816
433;54;7;2780
552;51;6;2777
670;67;10;2783
598;57;23;2787
471;39;17;2782
141;24;9;2790
136;31;11;2830
36;17;7;2818
0;25;9;2751
2;21;4;2738
130;24;4;2730
70;23;4;2758
36;23;4;2749
181;24;4;2791
24;15;-1;2839
33;20;-2;2830
342;17;5;2763
480;28;-7;2758
466;21;-16;2764
733;19;-23;2788
912;15;-30;2784
890;14;-31;2810
913;17;-54;2829
928;20;-50;2834
890;24;-16;2785
913;15;-11;2775
776;9;-18;2785
234;20;-14;2781
337;26;-6;2760
293;28;-13;2800
6;14;-20;2838
36;30;-21;2828
196;42;-2;2782
908;28;3;2763
994;35;5;2760
466;28;7;2752
703;27;9;2762
465;20;6;2786
211;15;5;2843
19;21;9;2829
93;19;6;2757
470;23;-19;2727
506;15;-30;2741
399;15;-29;2741
403;11;-29;2740
168;9;-33;2772
8;14;-32;2813
78;20;-41;2816
333;19;-38;2766
850;24;-33;2773
776;22;-35;2775
583;17;-28;2801
417;24;-15;2800
502;47;-2;2826
757;61;-5;2835
644;44;4;2832
542;46;5;2788
681;43;10;2809
711;37;11;2781
550;32;16;2791
125;22;13;2778
106;18;15;2809
87;24;17;2850
136;20;16;2837
24;23;9;2775
80;23;7;2768
380;27;9;2761
405;23;7;2765
288;30;8;2776
525;34;12;2806
177;55;22;2834
257;46;23;2816
158;39;23;2769
479;34;20;2760
571;37;23;2749
124;29;21;2741
298;25;15;2741
88;21;12;2750
115;22;12;2806
174;30;16;2806
182;29;16;2733
92;19;10;2714
25;19;14;2710
120;19;14;2711
120;20;14;2710
18;20;18;2728
70;3;14;2790
10;9;14;2796
63;11;8;2728
30;13;8;2695
0;16;9;2711
28;16;13;2737
28;11;19;2728
0;7;13;2749
0;-1;8;2797
2;4;11;2792
0;5;12;2734
0;7;4;2726
3;10;5;2728
32;9;5;2746
0;9;9;2743
0;9;16;2749
3;-1;6;2801
31;6;10;2783
0;9;3;2742
0;3;5;2722
0;9;4;2726
0;16;6;2723
0;10;6;2752
0;10;6;2764
0;-2;-7;2806
0;9;-9;2794
0;14;-5;2747
0;19;-14;2738
7;22;-23;2716
0;24;-20;2737
2;17;-27;2719
2;10;-28;2758
0;1;-23;2787
0;7;-27;2779
0;9;-27;2739
2;13;-28;2717
49;14;-25;2719
8;13;-27;2714
0;8;-24;2712
47;3;-25;2725
8;-15;-17;2762
21;-20;-12;2749
153;-11;-15;2725
237;-5;-12;2717
186;-3;-12;2692
148;-9;-7;2707
6;-19;-17;2711
53;-14;-30;2727
337;-15;-45;2733
759;15;-56;2739
332;22;-50;2734
707;23;-29;2723
795;18;-36;2728
671;20;-41;2732
656;16;-45;2727
685;14;-43;2752
403;14;-55;2761
750;11;-55;2769
897;18;-57;2734
766;16;-33;2710
190;12;-27;2711
0;15;-25;2712
145;7;-24;2708
0;6;-22;2724
51;-7;-27;2750
8;-2;-32;2743
5;5;-27;2703
17;6;-19;2700
46;13;-27;2687
101;15;-35;2706
384;14;-57;2697
876;7;-56;2721
892;12;-68;2739
882;10;-77;2757
779;12;-83;2724
739;12;-71;2732
702;21;-66;2722
811;23;-59;2737
1008;18;-58;2730
987;18;-60;2753
978;23;-76;2761
130;21;-80;2769
477;29;-72;2733
998;26;-53;2732
800;23;-48;2729
381;21;-39;2750
574;11;-35;2759
705;7;-28;2777
222;12;-14;2790
5;21;-2;2786
204;19;1;2747
183;23;4;2722
8;16;2;2734
0;17;-8;2749
14;14;-6;2746
34;24;-12;2777
1;10;3;2804
10;16;5;2799
0;6;2;2746
4;3;0;2734
0;8;1;2725
0;11;5;2744
0;2;8;2745
8;9;9;2756
19;-1;8;2791
31;-9;17;2783
91;-6;8;2753
209;-8;16;2739
138;-9;19;2731
361;-8;23;2724
416;-13;13;2746
307;-10;14;2741
222;-9;7;2804
15;-3;12;2794
52;2;7;2754
70;-2;7;2721
3;4;4;2736
11;-1;5;2743
4;9;-5;2746
76;2;-18;2777
106;6;-26;2809
0;13;-18;2802
174;14;-30;2753
447;9;-34;2735
623;12;-51;2755
800;8;-49;2770
896;0;-54;2782
905;-1;-46;2786
741;5;-39;2783
173;9;-26;2783
278;5;-16;2763
527;8;-25;2736
89;18;-1;2729
56;16;6;2713
27;15;8;2717
47;22;9;2741
3;14;12;2792
19;15;13;2783
0;17;9;2730
0;15;7;2699
0;18;6;2699
4;15;-26;2705
200;9;-30;2728
540;9;-37;2751
568;7;-55;2771
506;7;-72;2781
281;13;-67;2744
352;21;-59;2744
612;23;-53;2744
720;26;-39;2748
296;24;-40;2746
177;23;-11;2761
325;41;-21;2785
432;58;-5;2776
480;58;6;2755
546;46;3;2750
558;53;2;2750
574;61;-5;2766
844;97;4;2752
690;101;19;2769
573;98;8;2778
841;84;-8;2794
863;93;-2;2794
551;100;54;2822
364;68;78;2814
881;46;63;2807
635;52;43;2809
372;54;25;2817
421;68;16;2821
842;64;18;2792
392;64;20;2778
633;51;15;2775
405;38;10;2753
408;31;2;2762
464;27;-9;2764
552;19;-25;2789
842;43;-56;2802
777;39;-69;2814
0;46;-55;2767
838;44;-59;2774
831;44;-56;2755
930;37;-54;2784
362;45;68;2817
819;40;52;2827
791;61;60;2838
726;58;69;2850
741;46;56;2828
833;33;45;2828
880;38;32;2825
535;36;32;2826
169;39;27;2826
377;44;13;2849
472;60;7;2863
638;56;5;2871
704;49;8;2835
557;42;1;2820
810;66;-7;2828
433;67;17;2825
701;62;22;2812
780;64;27;2817
635;61;19;2809
584;53;18;2817
490;52;20;2776
349;33;13;2791
74;18;8;2757
14;18;8;2773
1;17;10;2773
7;14;12;2802
180;19;28;2823
409;34;38;2831
475;12;35;2800
590;15;27;2793
436;19;29;2782
541;17;26;2785
297;14;22;2782
344;10;24;2794
191;24;34;2837
235;17;36;2818
379;19;30;2774
297;18;14;2763
330;20;15;2747
170;17;15;2753
226;18;15;2757
173;16;15;2786
140;30;24;2831
154;27;19;2822
240;25;18;2761
60;17;14;2717
58;17;8;2718
0;22;-7;2749
0;21;-22;2746
23;2;-27;2781
230;-1;-39;2811
293;2;-46;2826
394;11;-50;2775
636;8;-35;2777
457;6;-30;2764
306;2;-33;2792
159;5;-19;2775
0;19;-1;2799
42;17;9;2801
64;27;15;2804
102;30;17;2789
327;24;23;2790
536;23;26;2767
738;21;28;2778
411;20;25;2774
85;16;21;2805
46;21;28;2839
73;28;26;2829
115;30;31;2787
225;29;26;2780
481;35;30;2771
549;28;26;2772
344;22;21;2774
303;19;14;2809
95;32;20;2835
45;20;13;2844
59;30;12;2795
8;25;15;2786
94;18;14;2784
206;14;16;2800
432;15;24;2808
475;22;31;2814
737;38;55;2830
706;41;60;2831
839;36;42;2822
779;63;79;2850
272;51;95;2833
269;38;95;2857
76;54;100;2847
130;47;96;2871
123;53;97;2855
150;39;100;2871
198;30;88;2842
722;36;75;2838
802;55;76;2830
845;45;57;2829
807;44;40;2819
640;52;32;2847
728;74;32;2853
782;97;38;2864
785;80;37;2824
413;63;29;2836
494;61;26;2824
762;45;27;2836
644;51;11;2827
894;57;4;2852
646;48;-10;2868
577;56;-34;2878
491;52;-25;2837
656;39;-21;2842
787;51;-43;2827
671;61;-32;2842
902;66;-15;2829
918;84;-10;2848
793;99;-17;2849
771;111;-2;2856
692;97;22;2824
855;71;11;2821
848;61;8;2804
816;48;8;2813
776;47;5;2798
605;39;5;2820
523;58;-1;2838
559;62;0;2850
444;52;4;2820
229;34;5;2816
319;41;5;2809
397;41;7;2820
291;35;12;2810
243;33;2;2841
368;46;3;2854
258;57;10;2848
150;43;17;2820
250;32;10;2803
420;50;23;2814
675;43;35;2812
737;40;35;2806
632;32;33;2827
384;48;32;2852
473;66;34;2857
364;50;33;2813
268;34;23;2799
352;47;35;2796
536;49;43;2797
496;57;40;2790
484;53;35;2811
580;71;28;2826
343;66;17;2829
164;45;16;2770
258;39;9;2776
305;33;10;2772
245;25;5;2794
377;40;-2;2819
879;39;39;2840
940;47;67;2831
785;40;80;2855
769;28;71;2835
701;15;68;2842
738;14;74;2828
877;-7;53;2838
658;10;45;2819
648;9;38;2849
433;2;50;2868
525;4;50;2872
378;12;39;2815
368;13;20;2769
287;17;18;2771
279;19;19;2768
145;17;16;2786
139;17;22;2824
38;5;18;2886
51;12;18;2877
2;16;13;2821
0;9;9;2752
0;5;1;2804
108;17;-6;2809
280;22;-15;2805
422;6;-28;2831
356;11;-32;2876
848;10;-45;2882
888;16;-45;2830
989;16;-34;2800
849;19;-40;2797
586;15;-49;2814
760;13;-56;2813
947;11;-49;2841
946;13;-67;2856
854;10;-63;2871
973;15;-54;2824
924;15;-33;2819
753;11;-24;2801
798;15;-30;2805
97;11;-28;2798
115;-1;-26;2835
0;0;-24;2872
31;-1;-18;2869
0;23;6;2839
4;18;1;2801
0;13;3;2794
0;18;2;2830
0;12;-1;2833
0;1;4;2864
0;4;-5;2897
4;9;0;2885
0;8;3;2847
1;9;-10;2813
0;13;-1;2808
0;12;2;2825
0;4;0;2833
0;-13;7;2866
0;-5;3;2889
0;1;8;2882
0;2;2;2844
0;4;7;2822
81;1;19;2810
36;-8;15;2828
51;-13;13;2832
105;-19;-1;2852
113;-35;17;2853
185;-36;24;2852
402;-39;19;2826
441;-40;12;2831
422;-34;12;2825
274;-29;16;2834
314;-28;17;2827
345;-34;7;2842
99;-42;20;2845
188;-25;35;2852
276;-23;25;2822
213;-5;19;2793
98;-1;17;2799
96;4;25;2799
86;-11;16;2807
45;-16;16;2826
18;-12;24;2869
3;-12;23;2866
0;-11;20;2827
0;-7;17;2796
32;-10;17;2795
0;-21;17;2800
13;-8;14;2819
18;-18;8;2844
19;-16;26;2853
25;-14;32;2855
4;-21;27;2826
217;-21;26;2828
300;-32;30;2826
0;-31;30;2830
90;-38;24;2820
595;-39;20;2823
492;-46;24;2815
308;-47;22;2823
302;-43;23;2809
329;-35;20;2809
260;-34;15;2802
317;-30;8;2805
313;-33;10;2805
196;-35;5;2817
265;-31;12;2816
145;-34;16;2821
190;-37;15;2807
218;-20;10;2794
93;-18;3;2799
19;-11;6;2798
0;-14;-6;2794
0;-10;-12;2817
predicciones
0;-11;-19;2860
0;-1;-16;2867
13;12;-35;2818
221;16;-28;2792
275;15;-39;2797
224;18;-36;2813
201;16;-45;2814
534;6;-42;2849
483;3;-52;2872
333;12;-39;2891
365;14;-31;2841
613;11;-27;2827
495;5;-35;2837
287;12;-21;2842
283;9;-20;2842
73;5;-24;2891
64;8;-28;2911
125;22;-8;2933
127;32;1;2884
380;25;6;2841
259;27;11;2844
136;19;11;2853
40;17;17;2852
143;5;10;2925
34;6;5;2950
63;12;-3;2946
6;20;-10;2894
176;10;-29;2845
136;24;-23;2854
213;26;-27;2859
176;12;-29;2871
166;-2;-31;2905
9;2;-22;2962
0;5;-16;2957
0;14;-1;2914
0;19;-12;2872
64;22;1;2844
28;17;6;2873
2;-16;13;2926
0;-8;12;2959
25;-9;16;2952
5;-8;11;2903
71;-8;-7;2865
244;-8;10;2856
136;-12;15;2852
40;-16;11;2863
319;-24;10;2897
13;-25;20;2922
143;-31;9;2915
219;-10;-6;2874
104;-14;-12;2851
211;-14;-2;2833
49;5;6;2851
0;11;6;2844
60;19;14;2865
185;26;46;2897
439;31;52;2896
485;23;39;2867
469;12;46;2874
563;-3;36;2866
654;9;44;2885
822;-15;44;2879
376;-4;36;2921
870;19;72;2922
565;29;82;2944
798;-7;62;2907
844;-13;47;2883
773;-8;46;2881
664;3;46;2877
475;7;37;2863
765;11;36;2896
798;31;52;2907
580;37;35;2905
167;33;24;2839
282;22;12;2786
249;40;12;2813
323;52;17;2840
668;86;28;2846
615;80;39;2877
795;79;67;2884
657;73;64;2896
781;27;62;2869
887;59;67;2874
814;41;41;2861
833;48;42;2869
607;49;70;2875
725;47;68;2884
704;52;87;2895
706;52;80;2889
853;51;63;2853
846;39;43;2845
554;38;35;2835
344;26;27;2850
172;28;21;2843
250;29;18;2871
450;45;19;2900
457;50;22;2892
314;42;16;2847
201;28;12;2832
165;29;9;2823
369;30;8;2841
331;27;6;2826
236;15;2;2857
76;43;27;2864
601;47;51;2859
857;46;59;2844
825;61;43;2850
818;64;49;2842
676;61;41;2845
643;64;36;2835
655;59;31;2860
688;53;34;2853
764;58;49;2854
829;60;43;2847
711;52;39;2849
515;47;44;2837
881;43;41;2856
831;48;55;2846
886;43;64;2860
660;51;83;2881
951;36;81;2883
974;9;60;2856
733;-6;45;2862
477;0;42;2848
529;-2;45;2860
768;-2;27;2852
680;14;31;2865
252;12;37;2892
518;9;58;2896
463;-17;45;2873
402;-4;39;2852
426;-5;36;2858
629;-5;36;2870
474;-23;31;2862
649;-22;30;2904
750;-19;59;2931
627;-25;58;2926
491;-29;52;2863
247;-7;21;2831
252;-8;21;2829
269;1;24;2861
419;-21;21;2855
181;-27;14;2886
206;-23;37;2912
141;-13;35;2908
87;-10;24;2867
5;7;22;2801
19;12;16;2820
68;1;24;2820
124;-16;20;2835
2;-22;13;2886
35;-23;18;2915
40;-11;18;2916
19;-2;20;2876
25;-3;19;2825
19;-6;19;2821
34;1;18;2824
125;-16;17;2828
34;-31;11;2870
17;-20;14;2908
10;-11;16;2902
3;-4;-1;2849
6;14;-13;2794
2;10;-22;2792
4;10;-36;2813
511;15;-48;2810
857;3;-56;2847
918;-1;-71;2864
955;-3;-72;2867
989;3;-75;2825
924;14;-50;2810
837;18;-46;2799
891;25;-36;2808
725;18;-38;2810
779;13;-53;2846
496;46;7;2863
466;60;18;2914
99;48;21;2873
131;20;17;2858
129;14;19;2854
367;17;16;2879
235;-2;9;2872
294;12;12;2914
94;3;37;2943
54;-3;32;2929
74;-3;21;2886
55;-6;13;2857
9;-16;12;2852
38;-25;13;2865
116;-19;15;2873
86;-27;7;2923
53;-8;20;2948
41;-5;25;2945
25;-2;21;2895
4;6;18;2852
0;12;17;2856
64;-18;17;2879
117;-17;16;2879
65;-15;15;2915
64;14;24;2956
46;12;23;2950
143;6;16;2888
61;8;10;2834
11;7;11;2843
6;7;13;2838
1;-8;-11;2850
0;-7;-13;2895
0;-1;-22;2900
0;2;-20;2899
0;11;-30;2873
0;21;-5;2864
66;23;0;2858
215;21;1;2879
97;25;5;2864
299;17;-15;2907
241;30;-8;2931
131;28;8;2923
154;25;12;2865
61;18;7;2785
0;20;7;2793
51;17;6;2801
2;1;-14;2829
99;-6;-22;2867
327;11;-42;2891
249;10;-37;2900
411;12;-33;2845
621;14;-19;2798
581;17;-29;2811
842;13;-29;2822
560;10;-28;2823
329;15;-16;2861
29;48;-23;2877
289;53;-24;2884
560;71;-12;2845
547;50;-3;2822
486;43;-2;2816
348;50;-2;2824
525;33;-4;2831
472;40;-2;2876
154;63;-11;2889
622;64;-17;2903
577;83;-15;2857
614;110;12;2863
457;69;63;2898
305;34;51;2912
586;48;53;2917
823;35;46;2954
873;50;56;2969
787;30;51;2954
169;21;32;2917
268;17;19;2838
310;15;20;2844
344;6;28;2851
205;9;12;2874
129;26;-10;2915
30;43;10;2941
226;55;17;2939
686;44;25;2890
356;34;15;2873
279;28;15;2870
379;21;17;2882
225;20;16;2882
536;29;17;2916
660;50;42;2926
948;47;45;2927
566;37;40;2893
446;21;19;2877
57;24;17;2871
241;19;15;2887
349;20;7;2872
355;31;4;2905
353;50;20;2949
187;44;23;2942
172;42;17;2895
157;23;5;2844
175;22;4;2853
256;19;8;2859
84;17;7;2866
34;16;9;2918
55;22;8;2921
139;17;6;2942
25;6;8;2900
2;6;0;2862
1;-3;-14;2862
0;-4;-19;2876
0;-10;0;2889
12;-22;-15;2933
0;-6;-13;2962
1;8;-7;2959
122;15;-15;2906
516;23;-31;2830
581;18;-27;2841
612;18;-30;2847
804;13;-35;2844
921;5;-39;2907
573;12;-64;2913
633;16;-61;2921
865;18;-62;2870
925;16;-35;2838
898;18;-32;2836
686;11;-27;2847
331;5;-27;2843
309;2;-24;2900
28;36;-39;2919
131;30;-33;2918
38;39;-19;2865
110;32;-5;2828
61;33;-8;2829
230;54;-10;2849
648;69;40;2845
788;43;26;2863
557;68;44;2901
490;64;40;2895
604;51;29;2866
490;24;23;2828
329;28;20;2828
249;20;22;2846
406;25;22;2860
422;32;32;2893
831;32;56;2923
616;26;51;2919
144;6;20;2889
275;11;16;2834
567;13;20;2832
480;13;20;2853
409;17;22;2860
492;23;26;2906
525;29;42;2917
540;27;32;2911
151;29;21;2861
73;18;13;2846
449;38;22;2858
407;27;60;2883
890;-17;80;2879
803;-3;40;2897
198;7;64;2938
354;13;81;2961
445;-19;51;2924
644;-7;28;2882
527;1;28;2881
655;8;31;2902
386;-11;24;2898
265;-7;28;2962
164;-3;38;2984
345;6;36;2980
69;10;21;2922
165;16;18;2837
129;8;24;2852
135;-3;24;2859
52;-17;4;2884
0;-22;-10;2934
11;2;5;2959
6;1;-3;2951
0;4;-13;2894
370;11;-22;2835
187;11;-16;2839
72;5;-26;2841
103;0;-26;2859
241;-7;-25;2923
137;6;-29;2940
56;7;-29;2935
243;8;-32;2891
274;14;-22;2842
346;9;-22;2837
498;2;-23;2857
273;1;-22;2860
333;-1;-27;2920
280;15;-38;2935
79;16;-35;2939
167;20;-17;2880
397;26;-14;2807
640;21;-18;2806
550;14;-19;2826
219;7;-22;2831
85;11;-35;2879
244;23;-47;2871
394;35;-56;2873
785;39;-58;2860
223;31;-28;2819
686;35;-35;2823
890;25;-37;2826
648;27;-44;2824
618;16;-47;2866
616;35;-56;2876
587;39;-54;2896
716;45;-39;2853
476;27;-12;2818
616;32;-22;2814
760;24;-25;2827
522;25;-34;2825
781;19;-41;2853
908;22;-56;2850
620;12;-47;2883
432;22;-24;2853
96;21;17;2854
16;25;24;2853
153;-3;11;2871
1;14;8;2867
85;18;15;2906
403;22;19;2902
96;30;13;2899
91;23;17;2885
0;3;6;2870
0;-6;19;2864
43;-7;9;2872
0;-1;10;2871
69;-19;0;2894
69;-18;10;2913
5;-15;11;2923
4;-1;3;2904
4;-13;6;2860
67;-14;14;2870
62;-20;1;2882
0;1;3;2892
1;-6;10;2921
135;-13;25;2943
267;0;30;2938
17;-4;18;2931
10;3;12;2896
94;13;22;2895
238;-16;20;2923
0;-21;19;2929
73;-7;16;2957
105;-9;3;2976
12;-7;13;2981
28;-13;11;2945
31;-8;16;2893
32;-11;10;2890
1;8;6;2932
167;-9;-15;2923
17;-35;-28;2972
54;-9;-7;3001
7;-6;-5;3008
0;-6;4;2967
0;3;2;2908
0;8;-13;2895
1;9;-13;2920
43;-2;-21;2936
60;-13;-19;2996
16;-12;-17;3008
29;-4;-11;3003
0;-4;-7;2958
0;1;-4;2881
0;10;1;2889
1;3;-12;2923
0;4;-9;2911
30;3;-9;2958
197;-3;-6;2962
21;-2;-6;2979
19;-8;-4;2941
32;2;13;2914
24;-20;-5;2895
14;12;3;2949
64;-20;17;2956
97;-25;9;2997
115;-27;10;3028
57;-24;11;3020
17;-9;7;2979
0;-5;8;2920
0;-13;1;2933
0;-10;9;2962
59;-21;9;2966
87;-25;1;3023
50;-20;-2;3040
0;-14;11;3026
0;-7;9;2985
0;-5;9;2906
0;-11;-3;2914
37;-2;-11;2931
329;-2;-17;2948
127;-22;-13;3027
63;-20;-6;3031
1;-16;1;3024
17;-11;2;2972
44;-5;-10;2903
67;-2;-17;2900
26;3;-15;2908
87;2;-20;2933
52;-15;-20;3018
28;-17;-9;3022
8;-14;-2;3014
0;-8;0;2964
0;-4;-3;2905
0;8;-14;2882
4;5;-14;2910
0;-2;-20;2928
70;-12;-27;3004
5;-1;-17;3025
126;5;-2;3011
8;6;5;2957
0;7;6;2891
0;-10;-2;2904
52;-9;-11;2922
63;-15;-3;2932
0;-16;-14;3010
5;-3;-12;3034
73;8;-5;3021
74;9;-1;2969
140;20;12;2878
55;4;14;2896
0;-2;17;2917
2;-13;15;2926
0;-21;-2;3003
35;-7;4;3013
48;-3;8;2986
1;-5;2;2925
0;9;1;2832
0;12;-16;2841
13;16;-25;2864
142;10;-36;2872
399;1;-41;2942
634;5;-42;2957
437;8;-37;2952
546;5;-38;2904
721;7;-29;2871
519;14;-30;2869
557;10;-31;2877
568;4;-40;2885
434;-3;-48;2962
323;9;-40;2988
25;11;-31;2981
75;14;-12;2931
171;8;-19;2863
418;11;-25;2874
529;8;-35;2889
392;5;-44;2892
429;-3;-48;2969
455;13;-44;2985
40;20;-24;2992
0;8;-10;2929
136;9;-1;2869
114;7;4;2864
24;5;-20;2894
131;1;-33;2895
503;0;-38;2963
437;11;-42;2967
146;11;-33;2961
194;13;-26;2899
386;13;-18;2841
672;8;-29;2852
601;11;-33;2870
697;10;-36;2868
918;6;-53;2924
880;14;-52;2942
592;13;-39;2940
792;14;-34;2896
682;10;-20;2858
771;8;-23;2855
814;5;-37;2882
711;3;-41;2876
625;-5;-44;2936
208;21;-37;2950
34;28;-27;2971
11;17;2;2933
114;14;7;2858
114;12;1;2854
196;10;-10;2866
303;3;-33;2873
266;1;-52;2932
531;7;-38;2955
606;5;-31;2948
251;4;-31;2902
327;8;-32;2871
300;3;-32;2869
42;2;-25;2904
6;-1;-36;2915
86;1;-36;2977
110;5;-4;3008
44;-2;8;3011
21;-5;10;2958
22;-2;6;2887
48;0;-15;2882
38;2;-16;2906
89;-3;-19;2927
4;-15;-21;3006
205;-6;1;3012
32;-3;9;3003
37;-4;11;2943
0;5;0;2866
0;8;-17;2859
0;8;-21;2882
0;-1;-26;2898
135;-15;-22;2985
18;-4;-10;2982
6;-1;0;2977
1;0;2;2914
0;12;-12;2838
0;7;-14;2836
0;3;-21;2863
98;-2;-36;2877
241;-11;-38;2957
32;-1;-18;2961
26;2;-6;2956
0;-1;-14;2899
0;6;-20;2836
0;8;-22;2842
0;2;-24;2863
7;1;-32;2874
17;5;-19;2943
30;23;0;2939
124;28;9;2930
70;28;10;2886
53;23;9;2830
174;21;9;2835
314;22;4;2863
307;30;11;2874
260;38;27;2924
527;28;53;2926
553;20;48;2931
406;21;36;2893
8;12;19;2832
177;21;12;2842
230;30;13;2853
388;35;9;2859
582;52;9;2904
534;38;15;2875
82;33;36;2874
251;40;45;2881
894;32;32;2870
830;40;40;2862
576;44;39;2882
804;29;24;2895
715;33;18;2943
556;53;25;2949
409;44;26;2942
353;38;26;2902
241;20;15;2853
59;6;16;2848
111;0;4;2852
0;-7;-13;2872
143;-3;-40;2922
264;13;-16;2956
308;22;11;2948
247;-4;15;2909
76;-3;7;2860
91;-6;-8;2852
163;1;-14;2869
104;-2;-34;2882
30;-21;-39;2941
18;-14;-12;2962
2;-10;-8;2949
0;-6;-13;2885
2;0;-10;2833
84;0;-13;2830
79;0;-14;2858
51;-4;-31;2862
239;-11;-36;2931
83;1;-23;2948
0;8;-19;2937
19;12;-16;2879
189;10;-15;2841
698;10;-33;2831
709;13;-39;2850
761;10;-49;2848
648;11;-60;2916
901;17;-61;2933
939;16;-46;2939
930;12;-41;2889
612;7;-26;2853
363;7;-28;2849
222;6;-32;2870
421;5;-36;2882
454;0;-47;2960
475;6;-37;2972
141;5;-30;2971
133;7;-29;2906
51;9;-27;2858
592;12;-38;2851
740;10;-38;2878
704;7;-50;2874
906;1;-54;2952
817;5;-49;2964
298;3;-39;2973
370;6;-43;2911
362;10;-39;2864
627;12;-43;2864
825;14;-44;2882
687;15;-49;2878
805;8;-58;2951
764;8;-59;2954
858;9;-58;2959
909;11;-56;2903
753;13;-48;2871
688;9;-54;2866
509;5;-62;2886
124;7;-62;2882
781;6;-72;2942
503;3;-69;2952
716;6;-62;2959
878;7;-63;2901
882;16;-50;2878
808;15;-53;2862
835;16;-52;2888
824;13;-54;2881
826;8;-55;2953
821;8;-52;2960
633;10;-46;2966
374;12;-44;2914
502;20;-39;2867
713;17;-45;2860
820;14;-51;2877
861;12;-52;2880
763;9;-53;2949
616;7;-51;2957
580;6;-49;2956
491;7;-50;2904
869;12;-49;2861
794;14;-47;2855
640;12;-51;2876
608;8;-54;2877
405;5;-59;2945
875;9;-54;2957
773;7;-45;2960
747;5;-46;2903
612;10;-40;2861
849;12;-44;2850
863;14;-43;2870
828;10;-54;2872
897;8;-60;2938
893;9;-57;2945
681;8;-59;2942
947;8;-71;2892
928;13;-56;2866
816;12;-60;2846
590;13;-52;2863
422;12;-56;2858
409;10;-66;2920
903;12;-63;2938
872;20;-51;2953
827;17;-43;2932
433;10;-32;2906
415;4;-18;2884
129;1;-25;2908
36;-5;-31;2921
317;-9;-41;2990
214;4;-29;3000
18;-1;-20;2998
4;4;-12;2938
35;11;-14;2884
223;7;-24;2878
277;4;-24;2900
121;-2;-41;2898
0;-9;-51;2961
641;2;-36;2997
47;2;-22;2996
8;0;-19;2943
123;7;-23;2893
229;6;-27;2892
303;7;-22;2913
112;1;-41;2924
240;-4;-47;3002
156;18;-18;3031
171;13;5;3016
40;0;-9;2958
6;7;-17;2901
2;9;-19;2899
2;6;-25;2922
0;4;-36;2932
17;-8;-42;3025
59;14;-6;3046
105;12;6;3030
49;-3;11;2985
59;1;8;2926
94;-3;13;2896
120;1;-11;2931
5;-6;-21;2936
0;-15;-26;3015
4;2;-15;3016
76;10;-4;3002
22;5;-2;2948
0;15;6;2882
0;10;2;2862
117;8;-11;2885
371;0;-34;2890
381;-9;-48;2956
114;6;-27;2969
37;11;-26;2965
196;6;-35;2914
381;9;-27;2872
292;14;-29;2866
456;11;-38;2877
751;10;-22;2908
434;10;-36;2959
310;12;4;3005
392;-3;27;3010
27;-4;11;2970
39;-3;-4;2911
3;8;-14;2902
183;8;-11;2945
261;6;-26;2964
31;-4;10;3040
102;2;29;3047
156;-11;29;3032
101;-13;15;2984
94;-8;4;2919
86;-7;-5;2924
206;-12;-14;2947
430;-8;-15;2947
321;-25;-25;3004
246;-10;-8;3020
58;1;7;3030
30;-6;4;2983
1;-3;-6;2917
17;-9;-16;2926
53;-20;-18;2964
185;-18;2;2980
136;-21;5;3029
38;-8;19;3039
46;-12;18;3022
8;-11;12;2977
0;-11;2;2918
0;-7;-11;2908
163;4;-21;2938
275;1;-31;2944
162;-19;-24;3004
0;-17;-14;3009
3;-12;-13;2997
5;-2;-23;2951
25;5;-28;2909
0;10;-33;2896
0;8;-31;2919
55;0;-38;2927
229;-11;-44;3000
14;0;-23;3010
103;5;-15;3003
1;6;-17;2962
10;11;-18;2909
70;4;-17;2909
120;-18;11;2959
65;-6;-15;2959
120;-15;2;3036
116;-7;20;3028
16;-7;21;3023
17;-1;18;2979
24;11;13;2919
85;2;10;2917
149;-19;6;2954
197;-24;9;2962
205;-9;12;3023
0;-1;25;3020
0;0;29;3005
0;-1;23;2961
0;2;20;2908
0;-15;19;2893
0;-16;0;2915
0;-5;14;2926
0;-20;17;2987
0;-7;36;2984
0;-5;31;2967
0;-14;23;2954
61;0;19;2911
155;-3;18;2897
515;12;3;2919
477;18;17;2928
407;-25;13;2980
256;-4;6;3012
12;7;5;3017
32;-9;14;2977
2;4;17;2929
13;5;12;2919
76;6;16;2940
117;-9;6;2932
